cnpjcpf,serie,fabricante,descri,familia,isolante,tipo,tipo_sigla,potencia,potencia_a,potencia_b,potencia_un,impedancia,impedancia_a,impedancia_b,tensao,tensao_a,tensao_b,tensao_un,corrente,corrente_a,corrente_b,fases,lote,ano,volume,drenos,regional,subestacao,subestacao_sigla,status,energ,tag,local
33050196000188,33168,ITEL,CIA 19,IT0204  N,Óleo Mineral,Regulador,REG,2.8000,2.5000,2.8000,MVA,0.4600,0.4600,0.3500,12.0000,12.0000,13.8000,KV,1203.0000,1203.0000,1171.0000,3,,80,7300,,Bauru,Botucatu,BOT,1,1998-02-08,RT 000019,
33050196000188,33169,ITEL,CIA 20,IT0204,Óleo Mineral,Regulador,REG,2.8000,2.5000,2.8000,MVA,0.4900,0.4900,0.3700,12.0000,12.0000,13.8000,KV,1203.0000,1203.0000,1171.0000,3,,80,7300,,Ribeirao Preto,Sao Simao,SSI,1,1982-05-01,RT 000020,
33050196000188,33170,ITEL,CIA 21,IT0204,Óleo Mineral,Regulador,REG,2.8000,2.5000,2.8000,MVA,0.4900,0.4900,0.3700,12.0000,12.0000,13.8000,KV,1203.0000,1203.0000,1171.0000,3,,80,7300,,Campinas,Costa Pinto,CPI,1,1982-09-01,RT 000021,SE:CPI PMO PIRACICABA
33050196000188,31291,ITEL,CIA 22,IT0204,Óleo Mineral,Regulador,REG,2.8000,2.5000,2.8000,MVA,0.4500,0.4500,0.3400,11.9000,11.9000,13.8000,KV,1208.0000,1208.0000,1171.0000,3,,77,7300,,,,,1,1982-08-01,RT 000022,
33050196000188,33171,ITEL,CIA 23,IT0204,Óleo Mineral,Regulador,REG,2.8000,2.5000,2.8000,MVA,0.0000,0.0000,0.0000,12.0000,12.0000,13.8000,KV,1203.0000,1203.0000,1171.0000,3,,80,7300,,Campinas,Monte Mor,MOR,1,1994-06-26,RT 000023,
33050196000188,33172,ITEL,CIA 24,IT0204  N,Óleo Mineral,Regulador,REG,2.8000,2.5000,2.8000,MVA,0.4800,0.4800,0.3600,12.0000,12.0000,13.8000,KV,1203.0000,1203.0000,1171.0000,3,,80,7300,,S.J.R.Preto,Congonhas,COG,1,1999-02-07,RT 000024,
33050196000188,35331,ITEL,CIA 25,IT0205,Óleo Mineral,Regulador,REG,2.8000,2.5000,2.8000,MVA,0.4800,0.4800,0.3600,12.0000,12.0000,13.8000,KV,1203.0000,1203.0000,1171.0000,3,,83,6610,,Campinas,Nazare,NZE,1,1983-03-01,RT 000025,CPFL SUDESTE
33050196000188,35330,ITAIPU,QUEIROZ GALVÃO - GLD,,Óleo Mineral,Transformador de Potencia,TPA,0.5000,0.5000,2.8000,MVA,4.6000,4.6000,0.0000,4.1600,4.1600,0.3800,KV,0.0000,0.0000,0.0000,3,,2004,357,,Ribeirao Preto,Ipanema,IPA,1,1983-05-01,RT 000026,CPFL NORDESTE
33050196000188,35792,ITEL,CIA 27,IT0205,Óleo Mineral,Regulador,REG,2.8000,2.5000,2.8000,MVA,0.4700,0.4700,0.3500,12.0000,12.0000,13.8000,KV,1203.0000,1203.0000,1171.0000,3,,84,6610,,Araraquara,Araraquara,ARA,1,1984-12-01,RT 000027,SE: ARA - PMO: ARARAQUARA
33050196000188,35793,ITEL,CIA 28,IT0205,Óleo Mineral,Regulador,REG,2.8000,2.5000,2.8000,MVA,0.4700,0.4700,0.3500,12.0000,12.0000,13.8000,KV,1203.0000,1203.0000,1171.0000,3,,84,6610,,Campinas,Bandeirantes,BAN,1,1985-02-01,RT 000028,
